country_name,country_code,indicator_name,indicator_code,value,year
Fiji,FJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.6237716674805,2016
Netherlands,NLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Grenada,GRD,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.2919845581055,2018
Denmark,DNK,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Middle East & North Africa,MEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.0304606884215,2015
Finland,FIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Singapore,SGP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Latin America & the Caribbean (IDA & IBRD countries),TLA,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.8247114308537,2017
Grenada,GRD,Access to electricity (% of population),EG.ELC.ACCS.ZS,94.534912109375,2017
Slovak Republic,SVK,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
South Asia (IDA & IBRD),TSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.8243363289186,2017
Portugal,PRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Qatar,QAT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
East Asia & Pacific (IDA & IBRD countries),TEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.6322063723909,2016
Dominica,DMA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8146362304688,2015
Lesotho,LSO,Access to electricity (% of population),EG.ELC.ACCS.ZS,31.8150539398193,2015
Libya,LBY,Access to electricity (% of population),EG.ELC.ACCS.ZS,67.0,2018
Uganda,UGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,26.7,2016
Serbia,SRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
"Iran, Islamic Rep.",IRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
South Sudan,SSD,Access to electricity (% of population),EG.ELC.ACCS.ZS,21.8724517822266,2016
Montenegro,MNE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
World,WLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,87.9548684440235,2016
Kuwait,KWT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Suriname,SUR,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.8049240112305,2017
Least developed countries: UN classification,LDC,Access to electricity (% of population),EG.ELC.ACCS.ZS,51.0470997240707,2017
Ukraine,UKR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
IDA only,IDX,Access to electricity (% of population),EG.ELC.ACCS.ZS,54.3780209087147,2017
Ghana,GHA,Access to electricity (% of population),EG.ELC.ACCS.ZS,79.3,2016
Somalia,SOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,35.2555351257324,2018
Syrian Arab Republic,SYR,Access to electricity (% of population),EG.ELC.ACCS.ZS,86.0,2018
Portugal,PRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Czech Republic,CZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Fragile and conflict affected situations,FCS,Access to electricity (% of population),EG.ELC.ACCS.ZS,54.1481756750881,2016
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Nepal,NPL,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.4131927490234,2017
Guinea,GIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,35.4,2017
Japan,JPN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Norway,NOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Panama,PAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.278938293457,2015
Estonia,EST,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Middle East & North Africa (excluding high income),MNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.7249719133352,2016
Heavily indebted poor countries (HIPC),HPC,Access to electricity (% of population),EG.ELC.ACCS.ZS,42.1843933859748,2017
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,40.6680183410645,2016
Niger,NER,Access to electricity (% of population),EG.ELC.ACCS.ZS,16.6,2015
Late-demographic dividend,LTE,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.8705005489176,2015
Solomon Islands,SLB,Access to electricity (% of population),EG.ELC.ACCS.ZS,62.9,2017
Northern Mariana Islands,MNP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Cyprus,CYP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Fiji,FJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.0,2017
Nicaragua,NIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,83.6819152832031,2015
Guinea,GIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,33.9318656921387,2015
Other small states,OSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,72.7040205085118,2015
Small states,SST,Access to electricity (% of population),EG.ELC.ACCS.ZS,77.4251046168433,2015
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Slovak Republic,SVK,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Monaco,MCO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Kiribati,KIR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,58.1154747009277,2015
Portugal,PRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Estonia,EST,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Eswatini,SWZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,69.5853652954102,2016
Iceland,ISL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Pre-demographic dividend,PRE,Access to electricity (% of population),EG.ELC.ACCS.ZS,45.7055813358189,2016
Solomon Islands,SLB,Access to electricity (% of population),EG.ELC.ACCS.ZS,58.6782760620117,2016
Somalia,SOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,33.411735534668,2017
Upper middle income,UMC,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.8223106681124,2015
Eswatini,SWZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,76.5039825439453,2018
United Kingdom,GBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
San Marino,SMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
West Bank and Gaza,PSE,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9903335571289,2016
Niger,NER,Access to electricity (% of population),EG.ELC.ACCS.ZS,17.4946937561035,2016
Late-demographic dividend,LTE,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.3201489169109,2017
Gibraltar,GIB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Grenada,GRD,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.4674072265625,2015
Sint Maarten (Dutch part),SXM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Sub-Saharan Africa (excluding high income),SSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,44.5936870037128,2016
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,64.8517227172852,2018
British Virgin Islands,VGB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Poland,POL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Trinidad and Tobago,TTO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Lebanon,LBN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Vietnam,VNM,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.2,2016
Malawi,MWI,Access to electricity (% of population),EG.ELC.ACCS.ZS,10.8,2015
Greece,GRC,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Kazakhstan,KAZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Tajikistan,TJK,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.248161315918,2016
IDA & IBRD total,IBT,Access to electricity (% of population),EG.ELC.ACCS.ZS,87.0378544285461,2017
Zimbabwe,ZWE,Access to electricity (% of population),EG.ELC.ACCS.ZS,41.0415840148926,2018
Namibia,NAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,51.6,2015
Mali,MLI,Access to electricity (% of population),EG.ELC.ACCS.ZS,37.6,2015
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Kazakhstan,KAZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
St. Martin (French part),MAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Latvia,LVA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
West Bank and Gaza,PSE,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,2017
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,76.6025009155273,2016
Sub-Saharan Africa,SSF,Access to electricity (% of population),EG.ELC.ACCS.ZS,47.660056860408,2018
"Korea, Rep.",KOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Croatia,HRV,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Finland,FIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Samoa,WSM,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.678092956543,2015
New Zealand,NZL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Maldives,MDV,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9652404785156,2016
Latin America & Caribbean (excluding high income),LAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.2423899578941,2018
Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
North America,NAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,87.085563659668,2015
Central African Republic,CAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,24.1092948913574,2015
St. Kitts and Nevis,KNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Suriname,SUR,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.0661697387695,2016
Tonga,TON,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.02,2016
Madagascar,MDG,Access to electricity (% of population),EG.ELC.ACCS.ZS,24.1,2017
Guinea-Bissau,GNB,Access to electricity (% of population),EG.ELC.ACCS.ZS,26.0,2017
Guinea,GIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,33.5,2016
Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,14.4,2018
Sint Maarten (Dutch part),SXM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Myanmar,MMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,66.2645721435547,2018
Kosovo,XKX,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.464729309082,2015
Low income,LIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,40.6464432475689,2017
Latvia,LVA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Libya,LBY,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.9214172363281,2016
United Kingdom,GBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Uzbekistan,UZB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Rwanda,RWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,34.7165718078613,2018
Senegal,SEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,64.5,2016
Vanuatu,VUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,62.8,2017
Greece,GRC,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,68.8159027099609,2015
Japan,JPN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Palau,PLW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
"Micronesia, Fed. Sts.",FSM,Access to electricity (% of population),EG.ELC.ACCS.ZS,80.1308822631836,2017
Russian Federation,RUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.5,2015
Middle East & North Africa,MEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.1957640257067,2016
Iceland,ISL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Samoa,WSM,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9475860595703,2016
Nauru,NRU,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.6717987060547,2017
Greenland,GRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Northern Mariana Islands,MNP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Switzerland,CHE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Djibouti,DJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,60.2,2017
"Macao SAR, China",MAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Samoa,WSM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Serbia,SRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Singapore,SGP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Malawi,MWI,Access to electricity (% of population),EG.ELC.ACCS.ZS,11.0,2016
Gibraltar,GIB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Other small states,OSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,75.0870140920896,2017
Pacific island small states,PSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.5013588439046,2018
Pre-demographic dividend,PRE,Access to electricity (% of population),EG.ELC.ACCS.ZS,48.3917710219359,2018
Jamaica,JAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,94.9,2015
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,38.9702529907227,2016
South Asia (IDA & IBRD),TSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,86.6230694735552,2016
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Djibouti,DJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,58.6942405700684,2016
Tanzania,TZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,35.5589790344238,2018
Eswatini,SWZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,65.8135452270508,2015
Ukraine,UKR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Netherlands,NLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Late-demographic dividend,LTE,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.2149800412073,2016
Grenada,GRD,Access to electricity (% of population),EG.ELC.ACCS.ZS,93.6172790527344,2016
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Sint Maarten (Dutch part),SXM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Northern Mariana Islands,MNP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.7,2017
Tajikistan,TJK,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.3,2018
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,90.2836375587196,2017
Low & middle income,LMY,Access to electricity (% of population),EG.ELC.ACCS.ZS,87.6129015057492,2018
Europe & Central Asia (excluding high income),ECA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9822107962946,2016
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Greece,GRC,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Sub-Saharan Africa (IDA & IBRD countries),TSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,44.6588797306867,2017
Upper middle income,UMC,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.0813609877626,2016
Syrian Arab Republic,SYR,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.6981430053711,2017
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,62.602352142334,2017
Russian Federation,RUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Eritrea,ERI,Access to electricity (% of population),EG.ELC.ACCS.ZS,48.320915222168,2017
Eritrea,ERI,Access to electricity (% of population),EG.ELC.ACCS.ZS,49.6155433654785,2018
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9313659667969,2015
Small states,SST,Access to electricity (% of population),EG.ELC.ACCS.ZS,81.6587557003439,2018
Romania,ROU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Russian Federation,RUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Saudi Arabia,SAU,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.93,2017
Vietnam,VNM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Isle of Man,IMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
St. Lucia,LCA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.5374984741211,2018
St. Martin (French part),MAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
"Congo, Rep.",COG,Access to electricity (% of population),EG.ELC.ACCS.ZS,64.7098541259766,2017
Middle East & North Africa (excluding high income),MNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.525880692423,2015
Middle East & North Africa (IDA & IBRD countries),TMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.8100855931244,2018
"Iran, Islamic Rep.",IRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9846954345703,2015
Slovenia,SVN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Sub-Saharan Africa,SSF,Access to electricity (% of population),EG.ELC.ACCS.ZS,44.6588797306867,2017
French Polynesia,PYF,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
South Asia,SAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,86.6230694735552,2016
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Luxembourg,LUX,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Europe & Central Asia (excluding high income),ECA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9833681776927,2017
Fragile and conflict affected situations,FCS,Access to electricity (% of population),EG.ELC.ACCS.ZS,50.7484252072397,2015
Ethiopia,ETH,Access to electricity (% of population),EG.ELC.ACCS.ZS,42.9,2016
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
IDA total,IDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,57.8236810027139,2017
Somalia,SOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,31.5694141387939,2016
"Congo, Rep.",COG,Access to electricity (% of population),EG.ELC.ACCS.ZS,60.7406959533691,2016
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,60.3544654846191,2016
Puerto Rico,PRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Least developed countries: UN classification,LDC,Access to electricity (% of population),EG.ELC.ACCS.ZS,46.9139076974365,2016
Lesotho,LSO,Access to electricity (% of population),EG.ELC.ACCS.ZS,35.28564453125,2016
Luxembourg,LUX,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Nicaragua,NIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,88.0779571533203,2018
Cayman Islands,CYM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,41.529239654541,2018
Oman,OMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
South Asia (IDA & IBRD),TSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.6219918283442,2018
Kosovo,XKX,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Kyrgyz Republic,KGZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Europe & Central Asia,ECS,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.2628139698716,2015
Low & middle income,LMY,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.6393914145055,2016
Guyana,GUY,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.8495254516602,2018
"Venezuela, RB",VEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.2,2017
Niger,NER,Access to electricity (% of population),EG.ELC.ACCS.ZS,18.18092918396,2017
Mauritania,MRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,42.9,2017
IDA only,IDX,Access to electricity (% of population),EG.ELC.ACCS.ZS,46.4192264527825,2015
Small states,SST,Access to electricity (% of population),EG.ELC.ACCS.ZS,78.8466752980223,2016
Spain,ESP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Myanmar,MMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,55.6,2016
Kazakhstan,KAZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Trinidad and Tobago,TTO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Estonia,EST,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
"Yemen, Rep.",YEM,Access to electricity (% of population),EG.ELC.ACCS.ZS,62.0,2018
Namibia,NAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,53.8738746643066,2018
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,54.4,2017
Mali,MLI,Access to electricity (% of population),EG.ELC.ACCS.ZS,50.9,2018
Malta,MLT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Oman,OMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
World,WLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,88.8495377040875,2017
Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
